05570;Warendorf, Kreis;7;2;2;3;3;8
05711;Bielefeld, Stadt;13;10;11;6;5;4
05754;G�tersloh, Kreis;1;5;4;7;3;4
05758;Herford, Kreis;7;1;3;1;2;3
05762;H�xter, Kreis;-;4;2;-;3;2
05766;Lippe, Kreis;5;8;12;3;13;8
05770;Minden-L�bbecke, Kreis;7;5;-;4;3;2
05774;Paderborn, Kreis;7;9;7;4;12;7
05911;Bochum, Stadt;11;11;3;4;3;8
05913;Dortmund, Stadt;11;8;9Altenburger;12;13;16
05914;Hagen, Stadt;-;2;2;3;1;5
05915;Hamm, Stadt;8;2;1;1;2;5
05916;Herne, Stadt;2;-;1;-;-;3
05954;Ennepe-Ruhr-Kreis;10;4;2;4;3;5
05958;Hochsauerlandkreis;4;7;5;4;3;4
05962;M�rkischer Kreis;7;6;9;8;5;7
05966;Olpe, Kreis;-;2;1;3;5;2
05970;Siegen-Wittgenstein, Kreis;6;2;6;10;5;3
05974;Soest, Kreis;5;7;3;2;5;6
05978;Unna, Kreis;3;3;4;1;3;4
06411;Darmstadt, Stadt;10;9;12;8;13;17
06412;Frankfurt am Main, Stadt;30;30;16;33;33;40
06413;Offenbach am Main, Stadt;10;1;7;6;13;6
06414;Wiesbaden, Landeshauptstadt;11;9;25;11;9;8
06431;Bergstra�e, Landkreis;7;3;3;3;9;1
06432;Darmstadt-Dieburg, Landkreis;7;2;7;8;7;5
06433;Gro�-Gerau, Landkreis;1;4;2;4;9;8
06434;Hochtaunuskreis;13;10;6;7;4;5
06435;Main-Kinzig-Kreis;9;7;5;7;3;13
06436;Main-Taunus-Kreis;4;4;5;3;11;14
06437;Odenwaldkreis;1;1;-;2;6;3
06438;Offenbach, Landkreis;5;4;11;3;9;9
06439;Rheingau-Taunus-Kreis;3;2;4;3;3;3
06440;Wetteraukreis;9;10;9;2;15;8
06531;Gie�en, Landkreis;20;13;12;6;13;14
06532;Lahn-Dill-Kreis;7;6;2;7;9;5
06533;Limburg-Weilburg, Landkreis;-;3;5;4;7;8
06534;Marburg-Biedenkopf, Landkreis;14;20;25;9;13;15
06535;Vogelsbergkreis;2;2;3;1;2;2
06611;Kassel, Stadt;14;17;7;13;13;11
06631;Fulda, Landkreis;12;9;11;9;11;12
06632;Hersfeld-Rotenburg, Landkreis;3;8;1;1;4;3
06633;Kassel, Landkreis;2;2;11;3;2;4
06634;Schwalm-Eder-Kreis;3;4;3;7;4;3
06635;Waldeck-Frankenberg, Landkreis;9;5;1;2;2;5
06636;Werra-Mei�ner-Kreis;-;3;1;2;3;2
07111;Koblenz, Stadt;9;2;5;4;7;5
07131;Ahrweiler, Kreis;2;3;3;3;-;5
07132;Altenkirchen (Westerwald), Kreis;5;1;2;3;1;-
07133;Bad Kreuznach, Kreis;2;3;2;3;3;1
07134;Birkenfeld, Kreis;-;1;-;3;2;3
07135;Cochem-Zell, Kreis;-;-;1;1;-;-
07137;Mayen-Koblenz, Kreis;6;4;1;-;2;1
07138;Neuwied, Kreis;-;1;3;2;1;4
07140;Rhein-Hunsr�ck-Kreis;1;-;-;-;1;1
07141;Rhein-Lahn-Kreis;2;1;-;-;3;4
07143;Westerwaldkreis;5;4;2;5;2;3
07211;Trier, Stadt;5;3;7;4;6;6
07231;Bernkastel-Wittlich, Landkreis;-;1;1;4;-;2
07232;Bitburg-Pr�m, Landkreis;-;1;-;2;-;2
07233;Daun, Landkreis;-;-;1;-;-;-
07235;Trier-Saarburg, Landkreis;-;3;4;3;-;1
07311;Frankenthal (Pfalz), Stadt;-;-;2;-;5;1
07312;Kaiserslautern, Stadt;7;11;8;3;5;9
07313;Landau in der Pfalz, Stadt;-;1;1;3;6;2
07314;Ludwigshafen am Rhein, Stadt;2;7;6;5;2;5
07315;Mainz, Stadt;14;4;5;17;15;14
07316;Neustadt an der Weinstra�e, Stadt;1;1;1;1;2;-
07317;Pirmasens, Stadt;-;1;2;1;2;1
07318;Speyer, Stadt;1;1;-;1;4;4
07319;Worms, Stadt;5;2;4;-;1;1
07320;Zweibr�cken, Stadt;-;-;1;-;-;1
07331;Alzey-Worms, Landkreis;3;-;5;-;2;1
07332;Bad D�rkheim, Landkreis;-;6;6;2;1;1
07333;Donnersbergkreis;-;-;1;1;3;-
07334;Germersheim, Landkreis;4;5;3;-;2;2
07335;Kaiserslautern, Landkreis;1;4;2;1;-;1
07336;Kusel, Landkreis;-;-;-;2;-;1
07337;S�dliche Weinstra�e, Landkreis;3;4;1;4;2;1
07338;Ludwigshafen, Landkreis;6;3;-;3;3;6
07339;Mainz-Bingen, Landkreis;4;3;3;5;3;6
07340;S�dwestpfalz, Landkreis;-;1;-;-;1;-
08111;Stuttgart, Landeshauptstadt;43;51;42;41;49;38
08115;B�blingen, Landkreis;15;8;10;10;13;7
08116;Esslingen, Landkreis;29;12;20;15;21;21
08117;G�ppingen, Landkreis;11;7;2;5;13;5
08118;Ludwigsburg, Landkreis;26;8;26;13;17;16
08119;Rems-Murr-Kreis;6;12;10;12;14;13
08121;Heilbronn, Stadt;10;9;8;8;8;10
08125;Heilbronn, Landkreis;11;10;10;10;8;5
08126;Hohenlohekreis;1;8;2;2;8;12
08127;Schw�bisch Hall, Landkreis;11;8;8;9;6;11
08128;Main-Tauber-Kreis;7;5;1;6;5;4
08135;Heidenheim, Landkreis;5;5;4;8;8;8
08136;Ostalbkreis;12;16;10;9;19;10
08211;Baden-Baden, Stadt;3;1;3;2;5;5
08212;Karlsruhe, Stadt;19;20;17;22;28;37
08215;Karlsruhe, Landkreis;13;8;6;8;16;17
08216;Rastatt, Landkreis;5;5;6;17;10;8
08221;Heidelberg, Stadt;28;17;20;9;13;28
08222;Mannheim, Universit�tsstadt;18;11;20;15;17;38
08225;Neckar-Odenwald-Kreis;9;6;2;2;7;3
08226;Rhein-Neckar-Kreis;29;14;17;12;13;14
08231;Pforzheim, Stadt;2;5;4;2;8;9
08235;Calw, Landkreis;5;2;7;6;4;5
08236;Enzkreis;4;4;7;3;6;5
08237;Freudenstadt, Landkreis;1;5;3;5;3;6
08311;Freiburg im Breisgau, Stadt;21;15;24;25;21;21
08315;Breisgau-Hochschwarzwald, Landkreis;6;9;11;13;6;11
08316;Emmendingen, Landkreis;2;4;2;2;2;2
08317;Ortenaukreis;11;6;10;12;9;9
08325;Rottweil, Landkreis;-;1;3;3;1;2
08326;Schwarzwald-Baar-Kreis;8;5;10;16;4;7
08327;Tuttlingen, Landkreis;2;1;1;2;2;4
08335;Konstanz, Landkreis;18;15;17;13;15;28
08336;L�rrach, Landkreis;7;3;7;4;-;12
08337;Waldshut, Landkreis;13;6;5;4;3;7
08415;Reutlingen, Landkreis;12;5;8;19;14;19
08416;T�bingen, Landkreis;16;26;23;20;25;17
08417;Zollernalbkreis;3;2;4;8;3;4
08421;Ulm, Universit�tsstadt;11;21;26;21;10;22
08425;Alb-Donau-Kreis;12;4;4;8;7;13
