Belgien;8
D�nemark;1
Finnland;18
Frankreich;129
Griechenland;90
Gro�britannien und Nordirland;43
Italien;243
Irland;21
Luxemburg;2
Niederlande;19
�sterreich;113
Portugal;19
Schweden;10
Spanien;130
Bosnien und Herzegowina;32
Bulgarien;348
Jugoslawien (Serbien/Montenegro);-
Serbien und Montenegro (ab 1.1.2004);-
Serbien (ab 01.08.2006);-
Serbien ohne Kosovo (ab 01.05.2008);31
Kosovo (ab 01.05.2008);75
Montenegro (ab 01.08.2006);2
Estland;1
Island;-
Kroatien;166
Lettland;5
Litauen;5
Mazedonien;24
Moldau, Republik;4
Norwegen;7
Polen;209
Rum�nien;672
Russische F�deration;60
Schweiz;25
Slowakei;61
Slowenien;27
Tschechien;160
T�rkei;76
Ukraine;38
Ungarn;264
Wei�russland;4
Ehem. Jugoslawien o.n.A.;-
Ehem. Sowjetunion o.n.A.;-
Ehem. Tschechoslowakei o.n.A.;-
�gypten;6
Algerien;12
Ghana;8
Kamerun;11
Liberia;-
Marokko;15
Nigeria;3
Sierra Leone;-
Sudan;-
Togo;8
Tunesien;15
Brasilien;45
Kanada;14
Kuba;5
Vereinigte Staaten;175
Armenien;2
Aserbaidschan;2
China;89
Georgien;8
Irak;90
Iran;8
Kasachstan;7
Kirgistan;1
Tadschikistan;-
Turkmenistan;1
Usbekistan;1
Vietnam;9
