Belgien;11
D�nemark;2
Finnland;18
Frankreich;101
Griechenland;37
Gro�britannien und Nordirland;41
Italien;199
Irland;6
Luxemburg;-
Niederlande;87
�sterreich;67
Portugal;28
Schweden;2
Spanien;151
Bosnien und Herzegowina;9
Bulgarien;201
Jugoslawien (Serbien/Montenegro);-
Serbien und Montenegro (ab 1.1.2004);-
Serbien (ab 01.08.2006);-
Serbien ohne Kosovo (ab 01.05.2008);23
Kosovo (ab 01.05.2008);22
Montenegro (ab 01.08.2006);-
Estland;-
Island;-
Kroatien;62
Lettland;17
Litauen;4
Mazedonien;10
Moldau, Republik;2
Norwegen;7
Polen;175
Rum�nien;332
Russische F�deration;65
Schweiz;20
Slowakei;59
Slowenien;14
Tschechien;123
T�rkei;166
Ukraine;23
Ungarn;373
Wei�russland;3
Ehem. Jugoslawien o.n.A.;-
Ehem. Sowjetunion o.n.A.;-
Ehem. Tschechoslowakei o.n.A.;-
�gypten;4
Algerien;4
Ghana;3
Kamerun;18
Liberia;-
Marokko;10
Nigeria;7
Sierra Leone;-
Sudan;-
Togo;4
Tunesien;18
Brasilien;44
Kanada;11
Kuba;1
Vereinigte Staaten;131
Armenien;1
Aserbaidschan;-
China;61
Georgien;3
Irak;12
Iran;5
Kasachstan;14
Kirgistan;1
Tadschikistan;-
Turkmenistan;1
Usbekistan;1
Vietnam;5
