Belgien;16
D�nemark;6
Finnland;25
Frankreich;96
Griechenland;55
Gro�britannien und Nordirland;47
Italien;219
Irland;9
Luxemburg;3
Niederlande;18
�sterreich;74
Portugal;27
Schweden;2
Spanien;162
Bosnien und Herzegowina;21
Bulgarien;274
Jugoslawien (Serbien/Montenegro);-
Serbien und Montenegro (ab 1.1.2004);-
Serbien (ab 01.08.2006);-
Serbien ohne Kosovo (ab 01.05.2008);12
Kosovo (ab 01.05.2008);23
Montenegro (ab 01.08.2006);1
Estland;6
Island;1
Kroatien;93
Lettland;5
Litauen;3
Mazedonien;37
Moldau, Republik;2
Norwegen;2
Polen;223
Rum�nien;438
Russische F�deration;62
Schweiz;28
Slowakei;55
Slowenien;11
Tschechien;142
T�rkei;93
Ukraine;44
Ungarn;385
Wei�russland;4
Ehem. Jugoslawien o.n.A.;-
Ehem. Sowjetunion o.n.A.;-
Ehem. Tschechoslowakei o.n.A.;-
�gypten;8
Algerien;2
Ghana;3
Kamerun;8
Liberia;-
Marokko;11
Nigeria;7
Sierra Leone;-
Sudan;-
Togo;7
Tunesien;11
Brasilien;49
Kanada;9
Kuba;2
Vereinigte Staaten;136
Armenien;-
Aserbaidschan;2
China;93
Georgien;3
Irak;27
Iran;5
Kasachstan;9
Kirgistan;-
Tadschikistan;-
Turkmenistan;-
Usbekistan;1
Vietnam;10
