Belgien;6
D�nemark;5
Finnland;7
Frankreich;109
Griechenland;12
Gro�britannien und Nordirland;48
Italien;98
Irland;12
Luxemburg;5
Niederlande;11
�sterreich;68
Portugal;8
Schweden;4
Spanien;64
Bosnien und Herzegowina;7
Bulgarien;149
Jugoslawien (Serbien/Montenegro);-
Serbien und Montenegro (ab 1.1.2004);-
Serbien (ab 01.08.2006);-
Serbien ohne Kosovo (ab 01.05.2008);13
Kosovo (ab 01.05.2008);18
Montenegro (ab 01.08.2006);1
Estland;1
Island;-
Kroatien;12
Lettland;7
Litauen;5
Mazedonien;9
Moldau, Republik;2
Norwegen;4
Polen;109
Rum�nien;254
Russische F�deration;65
Schweiz;32
Slowakei;39
Slowenien;2
Tschechien;89
T�rkei;104
Ukraine;29
Ungarn;65
Wei�russland;4
Ehem. Jugoslawien o.n.A.;-
Ehem. Sowjetunion o.n.A.;-
Ehem. Tschechoslowakei o.n.A.;-
�gypten;6
Algerien;2
Ghana;2
Kamerun;7
Liberia;-
Marokko;5
Nigeria;9
Sierra Leone;-
Sudan;-
Togo;7
Tunesien;10
Brasilien;17
Kanada;9
Kuba;1
Vereinigte Staaten;139
Armenien;-
Aserbaidschan;-
China;64
Georgien;3
Irak;10
Iran;6
Kasachstan;8
Kirgistan;-
Tadschikistan;1
Turkmenistan;-
Usbekistan;3
Vietnam;15
