Belgien;2
D�nemark;-
Finnland;16
Frankreich;82
Griechenland;27
Gro�britannien und Nordirland;53
Italien;103
Irland;11
Luxemburg;-
Niederlande;13
�sterreich;89
Portugal;14
Schweden;4
Spanien;94
Bosnien und Herzegowina;6
Bulgarien;176
Jugoslawien (Serbien/Montenegro);-
Serbien und Montenegro (ab 1.1.2004);-
Serbien (ab 01.08.2006);-
Serbien ohne Kosovo (ab 01.05.2008);17
Kosovo (ab 01.05.2008);21
Montenegro (ab 01.08.2006);2
Estland;4
Island;-
Kroatien;21
Lettland;6
Litauen;7
Mazedonien;4
Moldau, Republik;3
Norwegen;4
Polen;158
Rum�nien;353
Russische F�deration;40
Schweiz;31
Slowakei;148
Slowenien;9
Tschechien;121
T�rkei;153
Ukraine;28
Ungarn;176
Wei�russland;9
Ehem. Jugoslawien o.n.A.;-
Ehem. Sowjetunion o.n.A.;-
Ehem. Tschechoslowakei o.n.A.;-
�gypten;8
Algerien;1
Ghana;5
Kamerun;24
Liberia;-
Marokko;4
Nigeria;4
Sierra Leone;-
Sudan;-
Togo;3
Tunesien;2
Brasilien;29
Kanada;13
Kuba;-
Vereinigte Staaten;169
Armenien;1
Aserbaidschan;-
China;72
Georgien;3
Irak;28
Iran;7
Kasachstan;2
Kirgistan;2
Tadschikistan;2
Turkmenistan;-
Usbekistan;3
Vietnam;10
